//placeName, latitude, longitude
place1,23.440,179.662
place2,27.399,31.806
place3,87.070,30.723
place4,-43.268,-42.070
place5,30.335,24.176
place6,-5.306,-81.892
place7,-74.649,-154.781
place8,89.522,-55.570
place9,5.311,-88.819
place10,-86.503,3.381
place11,36.115,98.249
place12,-30.084,142.460
place13,7.924,135.873
place14,-46.673,-160.793
place15,42.106,-98.589
place16,80.449,-85.679
place17,1.950,-95.996
place18,80.655,-168.691
place19,29.474,66.326
place20,46.590,86.437
place21,75.304,118.132
place22,-26.448,46.465
place23,-68.092,162.489
place24,20.219,89.514
place25,10.197,156.607
place26,54.558,45.578
place27,86.201,-147.167
place28,15.685,164.100
place29,75.082,65.949
place30,75.830,-124.000
place31,20.202,-63.508
place32,-38.352,9.844
place33,79.473,-137.392
place34,-24.092,175.882
place35,7.209,-41.433
place36,86.335,76.565
place37,32.608,70.647
place38,22.315,2.457
place39,-58.243,84.716
place40,7.392,-84.054
place41,-14.886,14.646
place42,-89.334,-10.231
place43,31.544,118.174
place44,-32.849,78.439
place45,-14.554,-124.846
place46,-2.996,-165.560
place47,-11.171,125.258
place48,-22.154,-56.415
place49,87.728,-135.840
place50,31.749,-37.403
place51,-70.902,-102.384
place52,86.140,155.685
place53,29.917,-17.446
place54,-16.121,85.128
place55,-61.898,167.388
place56,38.249,40.291
place57,-11.226,-125.868
place58,42.792,39.862
place59,74.494,-147.927
place60,-20.061,62.664
place61,-26.921,115.599
place62,-10.245,-139.714
place63,-46.714,32.253
place64,-20.215,-120.164
place65,-55.180,-149.899
place66,-86.173,-41.239
place67,-83.817,-34.618
place68,40.289,56.487
place69,-29.319,-119.889
place70,53.815,42.149
place71,74.513,-161.353
place72,30.712,-17.680
place73,-10.838,-131.989
place74,-18.019,15.070
place75,12.991,81.394
place76,38.902,-149.908
place77,-17.058,-115.524
place78,-55.934,151.875
place79,-55.078,-81.142
place80,39.828,22.899
place81,-2.225,103.689
place82,-58.436,117.673
place83,19.646,-177.136
place84,47.154,-161.303
place85,67.215,170.629
place86,-27.801,22.552
place87,-9.933,-34.176
place88,29.805,64.437
place89,-89.225,-143.972
place90,-15.871,153.340
place91,-88.966,137.754
place92,-71.737,-82.478
place93,62.867,-134.745
place94,37.574,-24.041
place95,-31.977,26.104
place96,25.188,175.592
place97,63.854,125.172
place98,-25.621,84.594
place99,-8.796,177.054
place100,-40.131,105.945
place101,84.946,-136.900
place102,-36.679,92.549
place103,-58.646,17.405
place104,-2.894,131.134
place105,89.388,-36.736
place106,15.019,56.740
place107,6.378,-101.485
place108,37.194,164.487
place109,35.455,176.611
place110,77.778,120.377
place111,77.294,-118.340
place112,-14.023,174.514
place113,86.155,87.574
place114,-26.093,-168.574
place115,35.480,49.891
place116,-75.813,150.277
place117,-14.677,-117.691
place118,-88.239,-149.071
place119,87.816,-145.087
place120,-18.234,-45.046
place121,-88.129,-64.953
place122,89.112,-54.705
place123,51.949,-42.421
place124,21.333,-150.096
place125,-77.627,92.597
place126,36.373,-130.938
place127,56.441,102.493
place128,-7.428,-16.404
place129,-56.001,121.600
place130,-17.267,177.593
place131,12.840,99.766
place132,87.035,144.808
place133,-13.116,-150.066
place134,27.361,-69.457
place135,25.945,-136.769
place136,-2.403,169.483
place137,32.519,58.717
place138,35.587,80.796
place139,-69.516,-174.529
place140,89.745,-141.393
place141,-76.439,-159.451
place142,65.221,-140.129
place143,56.351,14.715
place144,16.793,55.400
place145,-31.393,-176.855
place146,9.118,-96.368
place147,-35.791,-164.923
place148,-57.744,171.021
place149,-69.018,175.138
place150,-35.438,41.369
place151,79.822,-78.167
place152,-34.283,-131.146
place153,84.440,-113.236
place154,-2.862,-38.952
place155,-72.108,143.245
place156,15.826,-164.713
place157,-36.141,-173.770
place158,-50.562,86.755
place159,-10.628,-122.910
place160,15.401,161.709
place161,85.551,-138.076
place162,-74.759,-58.009
place163,22.353,44.333
place164,27.049,-76.782
place165,27.675,32.142
place166,58.630,155.651
place167,27.504,87.455
place168,-25.728,39.279
place169,87.460,-103.179
place170,18.024,-56.915
place171,67.841,22.667
place172,5.648,142.318
place173,-20.469,-34.281
place174,-35.875,-85.242
place175,-31.817,70.732
place176,72.414,137.871
place177,48.501,-136.289
place178,86.434,-104.468
place179,-28.857,-173.684
place180,-38.407,-66.402
place181,79.272,-71.707
place182,-10.750,124.637
place183,-36.237,-81.312
place184,-21.279,-136.908
place185,-38.925,-18.974
place186,11.877,-112.155
place187,14.063,119.216
place188,2.239,65.984
place189,18.213,-130.470
place190,73.213,43.350
place191,65.770,-57.533
place192,-52.268,132.417
place193,48.751,-150.304
place194,14.928,41.242
place195,-82.715,74.784
place196,-43.635,28.499
place197,-43.954,-117.881
place198,12.011,-64.619
place199,-84.333,-93.010
place200,87.185,-16.183
place201,-33.067,-96.758
place202,-59.247,-146.208
place203,46.887,-110.622
place204,-49.683,-152.409
place205,-24.245,-161.529
place206,-86.049,-131.411
place207,-61.006,-95.619
place208,-22.411,-67.543
place209,-78.968,-128.554
place210,87.599,158.654
place211,-67.981,48.233
place212,76.651,148.275
place213,-87.404,20.869
place214,16.260,-37.863
place215,-73.486,-170.368
place216,-27.638,-107.245
place217,65.349,-51.354
place218,-3.049,69.003
place219,78.490,134.742
place220,69.952,-19.012
place221,-81.510,132.747
place222,-59.491,74.617
place223,49.261,80.031
place224,-63.688,-64.673
place225,38.109,37.990
place226,61.222,60.471
place227,-56.698,135.203
place228,-34.253,26.313
place229,44.382,81.043
place230,68.841,127.837
place231,12.611,-113.932
place232,49.518,-118.414
place233,68.361,-73.824
place234,-7.925,123.209
place235,27.370,58.399
place236,-75.323,-170.034
place237,-33.598,-60.206
place238,-78.778,97.987
place239,-69.215,-4.153
place240,50.901,-118.970
place241,-86.332,-128.488
place242,10.726,-114.104
place243,10.953,124.640
place244,-83.649,-31.295
place245,60.907,-66.584
place246,25.209,-36.859
place247,-69.602,-40.774
place248,-37.974,-69.502
place249,-2.182,-28.655
place250,4.855,-61.708
place251,-64.449,74.135
place252,-2.458,-42.935
place253,-58.293,-24.644
place254,-70.045,-2.677
place255,-3.046,-122.804
place256,-86.075,-155.081
place257,-43.022,89.157
place258,16.951,-170.824
place259,58.279,114.807
place260,-47.349,-83.941
place261,-43.926,-19.962
place262,67.429,-46.418
place263,-20.575,-107.766
place264,-64.008,-132.672
place265,85.003,126.916
place266,-76.777,-176.254
place267,-82.005,121.937
place268,-73.398,-63.731
place269,41.344,-179.702
place270,-64.899,-118.186
place271,15.288,17.633
place272,27.235,54.177
place273,-23.150,-168.549
place274,-52.586,50.846
place275,-21.336,-129.755
place276,-27.408,42.953
place277,28.189,-149.266
place278,-46.456,86.279
place279,20.674,-133.940
place280,49.433,-135.771
place281,21.290,178.945
place282,82.136,150.582
place283,62.753,20.287
place284,14.353,-12.904
place285,-43.120,166.658
place286,57.707,-173.967
place287,-27.500,-75.182
place288,7.990,83.544
place289,81.373,85.835
place290,-31.427,-49.816
place291,58.642,-140.714
place292,-77.147,100.536
place293,-55.869,59.585
place294,88.830,-40.256
place295,-59.272,69.588
place296,46.526,150.352
place297,-76.659,-10.322
place298,-14.339,123.202
place299,13.328,-32.234
place300,45.607,152.584
place301,76.318,9.436
place302,-55.773,124.597
place303,-37.852,81.616
place304,21.503,101.827
place305,20.939,-104.191
place306,-84.897,-65.631
place307,87.931,-161.385
place308,-42.002,-151.225
